x1,y1,G_dgm
421768.861722,211993.416246,3065.26736772
421768.06556,211992.811163,3065.36135564
421767.269398,211992.20608,3065.45668475
421766.473236,211991.600996,3065.55335507
421765.677074,211990.995913,3065.65501395
421764.880911,211990.39083,3065.75802867
421764.084749,211989.785747,3065.86125254
421763.288587,211989.180663,3065.96468554
421762.492425,211988.57558,3066.0683277
421761.696263,211987.970497,3066.16537521
421760.9001,211987.365413,3066.26181888
421760.103938,211986.76033,3066.35983235
421759.307776,211986.155247,3066.45941561
421758.511614,211985.550164,3066.56056867
421757.715452,211984.94508,3066.74246193
421756.919289,211984.339997,3066.9486991
421756.123127,211983.734914,3067.15420913
421755.326965,211983.129831,3067.35899202
421754.530803,211982.524747,3067.56304777
421753.734641,211981.919664,3067.74046245
421752.938478,211981.314581,3067.90943739
421752.142316,211980.709498,3068.07865067
421751.346154,211980.104414,3068.24810227
421750.549992,211979.499331,3068.4177922
421749.75383,211978.894248,3068.59329492
421748.957667,211978.289164,3068.77261287
421748.161505,211977.684081,3068.95405023
421747.365343,211977.078998,3069.13760699
421746.569181,211976.473915,3069.32328316
421745.773019,211975.868831,3069.4978434
421744.976856,211975.263748,3069.67049164
421744.180694,211974.658665,3069.84619315
421743.384532,211974.053582,3070.02494792
421742.58837,211973.448498,3069.5064815
421741.792208,211972.843415,3068.91612903
421740.996045,211972.238332,3068.42462697
421740.199883,211971.633249,3067.98062532
421739.403721,211971.028165,3067.53662367
421738.607559,211970.423082,3067.09262202
421737.811397,211969.817999,3066.64862037
421737.015235,211969.212915,3066.1617872
421736.219072,211968.607832,3065.65437228
421735.42291,211968.002749,3065.14695736
421734.626748,211967.397666,3064.63954244
421733.711385,211967.47274,3064.13212752
421732.756905,211967.771015,3063.66646752
421731.802425,211968.06929,3063.22087194
421730.847945,211968.367565,3062.77527636
421729.893465,211968.66584,3062.32968079
421728.938985,211968.964115,3061.88408521
421727.984505,211969.26239,3061.41715514
421727.030025,211969.560665,3060.93997325
421726.075545,211969.85894,3060.46279136
421725.121065,211970.157215,3059.98560947
421724.166585,211970.45549,3059.50842758
421723.212105,211970.753765,3059.04733053
421722.257625,211971.05204,3058.59396271
421721.303145,211971.350315,3058.14059488
421720.348665,211971.64859,3057.75451353
421719.394185,211971.946865,3057.43995267
421718.439705,211972.24514,3057.14107398
